210,ObjectId(5b97516b1025fcfc18ae1b60),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.21833333333333332,""y"":0.4377358490566038,""width"":0.2325,""height"":0.13836477987421383},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2017-12-18T18:07:16.241Z,0,UT01-15D_01_09_2016 (4.JPG
211,ObjectId(5b97516b1025fcfc18ae1b62),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.5425,""y"":0.1018867924528302,""width"":0.24666666666666667,""height"":0.14339622641509434},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2017-12-18T18:08:23.482Z,0,UT01-15D_01_09_2016 (4.JPG
258,ObjectId(5b97516e1025fcfc18ae1f59),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.3983495873968492,""y"":0.3669309173272933,""width"":0.11927981995498875,""height"":0.06568516421291053},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2018-08-21T19:08:10.348Z,0,UT01-15D_01_09_2016 (4.JPG
259,ObjectId(5b97516e1025fcfc18ae1f5a),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.2415603900975244,""y"":0.6024915062287656,""width"":0.11177794448612154,""height"":0.04869762174405436},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2018-08-21T19:08:18.289Z,0,UT01-15D_01_09_2016 (4.JPG
260,ObjectId(5b97516e1025fcfc18ae1f5c),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.30682670667666917,""y"":0.3793884484711212,""width"":0.08402100525131283,""height"":0.04983012457531144},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2018-08-21T19:08:34.748Z,0,UT01-15D_01_09_2016 (4.JPG
261,ObjectId(5b97516e1025fcfc18ae1f5d),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.49212303075768943,""y"":0.2695356738391846,""width"":0.06676669167291822,""height"":0.14949037372593432},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2018-08-21T19:08:43.183Z,0,UT01-15D_01_09_2016 (4.JPG
262,ObjectId(5b97516e1025fcfc18ae1f5e),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.4553638409602401,""y"":0.5243488108720272,""width"":0.12303075768942236,""height"":0.05436013590033975},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (4.JPG,mummification,2018-08-21T19:08:50.888Z,0,UT01-15D_01_09_2016 (4.JPG
208,ObjectId(5b97516b1025fcfc18ae1b5c),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.43666666666666665,""y"":0.14465408805031446,""width"":0.24416666666666667,""height"":0.2578616352201258},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_01_09_2016 (53.JPG,mummification,2017-12-18T17:51:44.570Z,0,UT01-15D_01_09_2016 (53.JPG
240,ObjectId(5b97516d1025fcfc18ae1ec7),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.5971492873218305,""y"":0.46206115515288787,""width"":0.2250562640660165,""height"":0.18006795016987542},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_02_06_2016 (40).JPG,mummification,2018-08-21T18:18:16.345Z,0,UT01-15D_02_06_2016 (40).JPG
241,ObjectId(5b97516d1025fcfc18ae1ec8),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.10802700675168792,""y"":0.45866364665911663,""width"":0.16429107276819205,""height"":0.11325028312570781},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_02_06_2016 (40).JPG,mummification,2018-08-21T18:19:31.399Z,0,UT01-15D_02_06_2016 (40).JPG
242,ObjectId(5b97516d1025fcfc18ae1ec9),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.008252063015753939,""y"":0.4722536806342016,""width"":0.072768192048012,""height"":0.16194790486976218},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_02_06_2016 (40).JPG,mummification,2018-08-21T18:19:39.315Z,0,UT01-15D_02_06_2016 (40).JPG
97,ObjectId(5b83f17cc3b83b98804a84e1),ObjectId(5b339db9f1e6500030825d2b),"[{""type"":""rect"",""geometry"":{""x"":0.5500264690312334,""y"":0.5859312549960032,""width"":0.32027527792482796,""height"":0.17266187050359713},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_03_19_2016 (30).JPG,mummification,2018-08-27T12:41:32.402Z,0,UT01-15D_03_19_2016 (30).JPG
98,ObjectId(5b83f1abc3b83b98804a84e2),ObjectId(5b339db9f1e6500030825d2b),"[{""type"":""rect"",""geometry"":{""x"":0.8512440444679725,""y"":0.6778577138289369,""width"":0.14716781365802012,""height"":0.20623501199040767},""style"":{}}]",http://localhost:3000/2015/UT01-15D/Daily Photos/UT01-15D_03_19_2016 (30).JPG,mummification,2018-08-27T12:42:19.827Z,0,UT01-15D_03_19_2016 (30).JPG
212,ObjectId(5b97516b1025fcfc18ae1b80),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.3747913188647746,""y"":0.19395465994962216,""width"":0.34474123539232054,""height"":0.6158690176322418},""style"":{}}]",http://localhost:3000/2015/UT05-15D/Daily Photos/UT05-15D_09_27_2015 (12).JPG,mummification,2018-01-25T16:57:44.438Z,0,UT05-15D_09_27_2015 (12).JPG
20,ObjectId(5b6db9587b7bf69e9420e773),ObjectId(5b0471ddf1e6500030825d24),"[{""type"":""rect"",""geometry"":{""x"":0.21212121212121213,""y"":0.29001203369434414,""width"":0.19457735247208932,""height"":0.17809867629362214},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (15).JPG,mummification,2018-08-10T16:12:08.431Z,0,UT06-15D_05_23_2015 (15).JPG
213,ObjectId(5b97516c1025fcfc18ae1bab),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.8672787979966611,""y"":0.3249370277078086,""width"":0.12687813021702837,""height"":0.21032745591939547},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-01-25T17:16:36.256Z,0,UT06-15D_05_23_2015 (2).JPG
214,ObjectId(5b97516c1025fcfc18ae1bae),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.17445742904841402,""y"":0.37531486146095716,""width"":0.21285475792988315,""height"":0.11083123425692695},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-01-25T17:17:07.676Z,0,UT06-15D_05_23_2015 (2).JPG
215,ObjectId(5b97516c1025fcfc18ae1baf),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.1686143572621035,""y"":0.5579345088161209,""width"":0.22537562604340566,""height"":0.0982367758186398},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-01-25T17:17:16.599Z,0,UT06-15D_05_23_2015 (2).JPG
216,ObjectId(5b97516c1025fcfc18ae1bb0),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.11602671118530884,""y"":0.353904282115869,""width"":0.0651085141903172,""height"":0.1397984886649874},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-01-25T17:17:25.206Z,0,UT06-15D_05_23_2015 (2).JPG
217,ObjectId(5b97516c1025fcfc18ae1bb1),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.014190317195325543,""y"":0.5579345088161209,""width"":0.14858096828046743,""height"":0.10201511335012595},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-01-25T17:17:32.767Z,0,UT06-15D_05_23_2015 (2).JPG
218,ObjectId(5b97516c1025fcfc18ae1bb2),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.6068447412353923,""y"":0.6133501259445844,""width"":0.2287145242070117,""height"":0.07934508816120907},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-01-25T17:17:45.143Z,0,UT06-15D_05_23_2015 (2).JPG
21,ObjectId(5b6dccd37b7bf69e9420e774),ObjectId(5b0471ddf1e6500030825d24),"[{""type"":""rect"",""geometry"":{""x"":0.6802232854864434,""y"":0.41034897713598073,""width"":0.10685805422647528,""height"":0.13959085439229843},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-08-10T17:35:15.342Z,0,UT06-15D_05_23_2015 (2).JPG
302,ObjectId(5b97516e1025fcfc18ae201e),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.5498874718679669,""y"":0.3895809739524349,""width"":0.32483120780195046,""height"":0.16987542468856173},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-09-03T16:18:45.806Z,0,UT06-15D_05_23_2015 (2).JPG
303,ObjectId(5b97516e1025fcfc18ae201f),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.7944486121530383,""y"":0.3103057757644394,""width"":0.07501875468867217,""height"":0.30690826727066817},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_05_23_2015 (2).JPG,mummification,2018-09-03T16:18:55.082Z,0,UT06-15D_05_23_2015 (2).JPG
219,ObjectId(5b97516c1025fcfc18ae1bb6),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.2036727879799666,""y"":0.44080604534005036,""width"":0.33889816360601,""height"":0.0982367758186398},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-01-25T17:19:14.145Z,0,UT06-15D_06_25_2015 (2).JPG
220,ObjectId(5b97516c1025fcfc18ae1bb7),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.10267111853088481,""y"":0.4181360201511335,""width"":0.09766277128547579,""height"":0.1397984886649874},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-01-25T17:19:21.950Z,0,UT06-15D_06_25_2015 (2).JPG
221,ObjectId(5b97516c1025fcfc18ae1bb8),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.028380634390651086,""y"":0.6095717884130982,""width"":0.15025041736227046,""height"":0.10831234256926953},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-01-25T17:19:29.364Z,0,UT06-15D_06_25_2015 (2).JPG
222,ObjectId(5b97516c1025fcfc18ae1bb9),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.19365609348914858,""y"":0.6196473551637279,""width"":0.41068447412353926,""height"":0.0982367758186398},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-01-25T17:19:39.867Z,0,UT06-15D_06_25_2015 (2).JPG
19,ObjectId(5b6db9107b7bf69e9420e772),ObjectId(5b0471ddf1e6500030825d24),"[{""type"":""rect"",""geometry"":{""x"":0.620414673046252,""y"":0.46690734055354993,""width"":0.14752791068580542,""height"":0.14320096269554752},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-08-10T16:10:56.669Z,0,UT06-15D_06_25_2015 (2).JPG
256,ObjectId(5b97516e1025fcfc18ae1f4f),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.6766691672918229,""y"":0.6761041902604756,""width"":0.16429107276819205,""height"":0.045300113250283124},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-08-21T19:06:20.835Z,0,UT06-15D_06_25_2015 (2).JPG
257,ObjectId(5b97516e1025fcfc18ae1f50),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.8297074268567142,""y"":0.5605889014722537,""width"":0.04351087771942986,""height"":0.1087202718006795},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_06_25_2015 (2).JPG,mummification,2018-08-21T19:06:28.384Z,0,UT06-15D_06_25_2015 (2).JPG
223,ObjectId(5b97516c1025fcfc18ae1bbc),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.02003338898163606,""y"":0.3211586901763224,""width"":0.21619365609348914,""height"":0.5214105793450882},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (13.JPG,mummification,2018-01-25T17:20:53.940Z,0,UT06-15D_09_17_2015 (13.JPG
75,ObjectId(5b743d7ecfe1a34b0916a9e4),ObjectId(5b339db9f1e6500030825d2b),"[{""type"":""rect"",""geometry"":{""x"":0.3758099352051836,""y"":0.5760869565217391,""width"":0.07631389488840892,""height"":0.1793478260869565},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (13.JPG,mummification,2018-08-15T14:49:34.270Z,0,UT06-15D_09_17_2015 (13.JPG
225,ObjectId(5b97516c1025fcfc18ae1bbf),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.8113522537562604,""y"":0.28967254408060455,""width"":0.1327212020033389,""height"":0.2052896725440806},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,bone exposure,2018-01-25T17:21:54.590Z,0,UT06-15D_09_17_2015 (3.JPG
224,ObjectId(5b97516c1025fcfc18ae1bbe),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.4240400667779633,""y"":0.24811083123425692,""width"":0.3347245409015025,""height"":0.1385390428211587},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,mummification,2018-01-25T17:21:42.850Z,0,UT06-15D_09_17_2015 (3.JPG
226,ObjectId(5b97516c1025fcfc18ae1bc0),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.5717863105175293,""y"":0.4005037783375315,""width"":0.21035058430717862,""height"":0.2141057934508816},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,mummification,2018-01-25T17:22:01.989Z,0,UT06-15D_09_17_2015 (3.JPG
227,ObjectId(5b97516c1025fcfc18ae1bc1),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.06343906510851419,""y"":0.49370277078085645,""width"":0.4031719532554257,""height"":0.13476070528967254},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,mummification,2018-01-25T17:22:16.846Z,0,UT06-15D_09_17_2015 (3.JPG
228,ObjectId(5b97516c1025fcfc18ae1bc2),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.055926544240400666,""y"":0.6574307304785895,""width"":0.4590984974958264,""height"":0.11838790931989925},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,mummification,2018-01-25T17:22:28.099Z,0,UT06-15D_09_17_2015 (3.JPG
18,ObjectId(5b6db83a7b7bf69e9420e771),ObjectId(5b0471ddf1e6500030825d24),"[{""type"":""rect"",""geometry"":{""x"":0.7169059011164274,""y"":0.6305655836341757,""width"":0.09409888357256778,""height"":0.06979542719614922},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,mummification,2018-08-10T16:07:22.125Z,0,UT06-15D_09_17_2015 (3.JPG
301,ObjectId(5b97516e1025fcfc18ae201c),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.5131282820705176,""y"":0.46772366930917325,""width"":0.05326331582895724,""height"":0.1868629671574179},""style"":{}}]",http://localhost:3000/2015/UT06-15D/Daily Photos/UT06-15D_09_17_2015 (3.JPG,mummification,2018-09-03T16:18:06.595Z,0,UT06-15D_09_17_2015 (3.JPG
231,ObjectId(5b97516d1025fcfc18ae1dd7),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.3417207792207792,""y"":0.04105392156862745,""width"":0.2676542207792208,""height"":0.3333333333333333},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (42).JPG,mummification,2018-08-14T10:31:00.000Z,0,UT09-15D_02_28_2016 (42).JPG
76,ObjectId(5b757a34cfe1a34b0916a9ea),ObjectId(5b743eb8cfe1a34b0916a9e5),"[{""type"":""rect"",""geometry"":{""x"":0.47531380753138075,""y"":0.5031605562579013,""width"":0.4694560669456067,""height"":0.14032869785082175},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (42).JPG,mummification,2018-08-16T13:20:52.540Z,0,UT09-15D_02_28_2016 (42).JPG
77,ObjectId(5b757a63cfe1a34b0916a9eb),ObjectId(5b743eb8cfe1a34b0916a9e5),"[{""type"":""rect"",""geometry"":{""x"":0.16569037656903765,""y"":0.7610619469026548,""width"":0.1707112970711297,""height"":0.07964601769911504},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (42).JPG,mummification,2018-08-16T13:21:39.421Z,0,UT09-15D_02_28_2016 (42).JPG
78,ObjectId(5b757a85cfe1a34b0916a9ec),ObjectId(5b743eb8cfe1a34b0916a9e5),"[{""type"":""rect"",""geometry"":{""x"":0.15564853556485356,""y"":0.4247787610619469,""width"":0.31548117154811717,""height"":0.2515802781289507},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (42).JPG,mummification,2018-08-16T13:22:13.118Z,0,UT09-15D_02_28_2016 (42).JPG
79,ObjectId(5b757ad5cfe1a34b0916a9ee),ObjectId(5b743eb8cfe1a34b0916a9e5),"[{""type"":""rect"",""geometry"":{""x"":0.06192468619246862,""y"":0.42857142857142855,""width"":0.09205020920502092,""height"":0.15802781289506954},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (42).JPG,mummification,2018-08-16T13:23:33.328Z,0,UT09-15D_02_28_2016 (42).JPG
232,ObjectId(5b97516d1025fcfc18ae1dd8),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.3222402597402597,""y"":0.3449754901960784,""width"":0.3652597402597403,""height"":0.39215686274509803},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (64).JPG,mummification,2018-08-14T10:31:00.000Z,0,UT09-15D_02_28_2016 (64).JPG
243,ObjectId(5b97516d1025fcfc18ae1eca),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.06301575393848462,""y"":0.49490373725934317,""width"":0.21905476369092272,""height"":0.19479048697621745},""style"":{}}]",http://localhost:3000/2015/UT09-15D/Daily Photos/UT09-15D_02_28_2016 (64).JPG,mummification,2018-08-21T18:24:11.500Z,0,UT09-15D_02_28_2016 (64).JPG
12,ObjectId(5af9e818f1e6500030825d18),,"[{""type"":""rect"",""geometry"":{""x"":0.7,""y"":0.18329177057356608,""width"":0.128099173553719,""height"":0.14588528678304238},""style"":{}}]",http://localhost:3000/2015/UT30-15D/Daily Photos/UT30-15D_09-21-2015 (10).JPG,mummification,2018-05-14T19:48:40.142Z,0,UT30-15D_09-21-2015 (10).JPG
13,ObjectId(5af9e823f1e6500030825d19),,"[{""type"":""rect"",""geometry"":{""x"":0.19917355371900827,""y"":0.1745635910224439,""width"":0.271900826446281,""height"":0.10723192019950124},""style"":{}}]",http://localhost:3000/2015/UT30-15D/Daily Photos/UT30-15D_09-21-2015 (10).JPG,mummification,2018-05-14T19:48:51.356Z,0,UT30-15D_09-21-2015 (10).JPG
14,ObjectId(5af9e82ef1e6500030825d1a),,"[{""type"":""rect"",""geometry"":{""x"":0.24545454545454545,""y"":0.5610972568578554,""width"":0.25041322314049586,""height"":0.06109725685785536},""style"":{}}]",http://localhost:3000/2015/UT30-15D/Daily Photos/UT30-15D_09-21-2015 (10).JPG,mummification,2018-05-14T19:49:02.450Z,0,UT30-15D_09-21-2015 (10).JPG
253,ObjectId(5b97516e1025fcfc18ae1f40),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.41935483870967744,""y"":0.4801812004530011,""width"":0.08702175543885972,""height"":0.05096262740656852},""style"":{}}]",http://localhost:3000/2015/UT30-15D/Daily Photos/UT30-15D_09-21-2015 (10).JPG,mummification,2018-08-21T19:03:15.042Z,0,UT30-15D_09-21-2015 (10).JPG
254,ObjectId(5b97516e1025fcfc18ae1f42),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.6204051012753188,""y"":0.17893544733861835,""width"":0.07651912978244561,""height"":0.21630804077010193},""style"":{}}]",http://localhost:3000/2015/UT30-15D/Daily Photos/UT30-15D_09-21-2015 (10).JPG,mummification,2018-08-21T19:03:30.230Z,0,UT30-15D_09-21-2015 (10).JPG
255,ObjectId(5b97516e1025fcfc18ae1f43),ObjectId(5984676ae94fb4bc9c04bc64),"[{""type"":""rect"",""geometry"":{""x"":0.7501875468867217,""y"":0.38391845979614947,""width"":0.10202550637659415,""height"":0.3488108720271801},""style"":{}}]",http://localhost:3000/2015/UT30-15D/Daily Photos/UT30-15D_09-21-2015 (10).JPG,mummification,2018-08-21T19:03:42.507Z,0,UT30-15D_09-21-2015 (10).JPG
3,ObjectId(599641a2b80b6300331ffeb4),,"[{""type"":""rect"",""geometry"":{""x"":0.3705926481620405,""y"":0.22989807474518686,""width"":0.377344336084021,""height"":0.3556058890147225},""style"":{}}]",http://localhost:3000/2015/UT35-15D/Daily Photos/UT35-15D_01_02_2016 (10.JPG,mummification,2017-08-18T01:23:46.204Z,0,UT35-15D_01_02_2016 (10.JPG
